Date,Open,High,Low,Close,Adj Close,Volume
2023-11-24,190.869995,190.899994,189.250000,189.970001,189.727905,24048300
2023-11-27,189.919998,190.669998,188.899994,189.789993,189.548126,40552600
2023-11-28,189.779999,191.080002,189.399994,190.399994,190.157349,38415400
2023-11-29,190.899994,192.089996,188.970001,189.369995,189.128662,43014200
2023-11-30,189.839996,190.320007,188.190002,189.949997,189.707916,48794400
2023-12-01,190.330002,191.559998,189.229996,191.240005,190.996292,45679300
2023-12-04,189.979996,190.050003,187.449997,189.429993,189.188583,43389500
2023-12-05,190.210007,194.399994,190.179993,193.419998,193.173508,66628400
2023-12-06,194.449997,194.759995,192.110001,192.320007,192.074921,41089700
2023-12-07,193.630005,195.000000,193.589996,194.270004,194.022430,47477700
2023-12-08,194.199997,195.990005,193.669998,195.710007,195.460587,53377300
2023-12-11,193.110001,193.490005,191.419998,193.179993,192.933807,60943700
2023-12-12,193.080002,194.720001,191.720001,194.710007,194.461868,52696900
2023-12-13,195.089996,198.000000,194.850006,197.960007,197.707718,70404200
2023-12-14,198.020004,199.619995,196.160004,198.110001,197.857529,66831600
2023-12-15,197.529999,198.399994,197.000000,197.570007,197.318222,128256700
2023-12-18,196.089996,196.630005,194.389999,195.889999,195.640350,55751900
2023-12-19,196.160004,196.949997,195.889999,196.940002,196.689026,40714100
2023-12-20,196.899994,197.679993,194.830002,194.830002,194.581711,52242800
2023-12-21,196.100006,197.080002,193.500000,194.679993,194.431885,46482500
2023-12-22,195.179993,195.410004,192.970001,193.600006,193.353287,37122800
2023-12-26,193.610001,193.889999,192.830002,193.050003,192.803986,28919300
2023-12-27,192.490005,193.500000,191.089996,193.149994,192.903839,48087700
2023-12-28,194.139999,194.660004,193.169998,193.580002,193.333298,34049900
2023-12-29,193.899994,194.399994,191.729996,192.529999,192.284637,42628800
2024-01-02,187.149994,188.440002,183.889999,185.639999,185.403412,82488700
2024-01-03,184.220001,185.880005,183.429993,184.250000,184.015198,58414500
2024-01-04,182.149994,183.089996,180.880005,181.910004,181.678177,71983600
2024-01-05,181.990005,182.759995,180.169998,181.179993,180.949097,62303300
2024-01-08,182.089996,185.600006,181.500000,185.559998,185.323517,59144500
2024-01-09,183.919998,185.149994,182.729996,185.139999,184.904053,42841800
2024-01-10,184.350006,186.399994,183.919998,186.190002,185.952713,46792900
2024-01-11,186.539993,187.050003,183.619995,185.589996,185.353485,49128400
2024-01-12,186.059998,186.740005,185.190002,185.919998,185.683060,40444700
2024-01-16,182.160004,184.259995,180.929993,183.630005,183.395981,65603000
2024-01-17,181.270004,182.929993,180.300003,182.679993,182.447189,47317400
2024-01-18,186.089996,189.139999,185.830002,188.630005,188.389618,78005800
2024-01-19,189.330002,191.949997,188.820007,191.559998,191.315872,68741000
2024-01-22,192.300003,195.330002,192.259995,193.889999,193.642899,60133900
2024-01-23,195.020004,195.750000,193.830002,195.179993,194.931259,42355600
2024-01-24,195.419998,196.380005,194.339996,194.500000,194.252121,53631300
2024-01-25,195.220001,196.270004,193.110001,194.169998,193.922546,54822100
2024-01-26,194.270004,194.759995,191.940002,192.419998,192.174774,44594000
2024-01-29,192.009995,192.199997,189.580002,191.729996,191.485657,47145600
2024-01-30,190.940002,191.800003,187.470001,188.039993,187.800354,55859400
2024-01-31,187.039993,187.100006,184.350006,184.399994,184.164993,55467800
2024-02-01,183.990005,186.949997,183.820007,186.860001,186.621872,64885400
2024-02-02,179.860001,187.330002,179.250000,185.850006,185.613159,102518000
2024-02-05,188.149994,189.250000,185.839996,187.679993,187.440811,69668800
2024-02-06,186.860001,189.309998,186.770004,189.300003,189.058762,43490800
2024-02-07,190.639999,191.050003,188.610001,189.410004,189.168625,53439000
2024-02-08,189.389999,189.539993,187.350006,188.320007,188.080017,40962000
2024-02-09,188.649994,189.990005,188.000000,188.850006,188.850006,45155200
2024-02-12,188.419998,188.669998,186.789993,187.149994,187.149994,41781900
2024-02-13,185.770004,186.210007,183.509995,185.039993,185.039993,56529500
2024-02-14,185.320007,185.529999,182.440002,184.149994,184.149994,54630500
2024-02-15,183.550003,184.490005,181.350006,183.860001,183.860001,65434500
2024-02-16,183.419998,184.850006,181.669998,182.309998,182.309998,49701400
2024-02-20,181.789993,182.429993,180.000000,181.559998,181.559998,53665600
2024-02-21,181.940002,182.889999,180.660004,182.320007,182.320007,41529700
2024-02-22,183.479996,184.960007,182.460007,184.369995,184.369995,52253700
